Environment ,sample_type,Country,Region,Location,Plot ,Location_ID,SAMPLE_NAME,OpenBIS identifier,Location_within_plot,Grapevine_variety ,Collection Date ,Longitude ,Latidude ,Soil pH,Soil pH Date,DNAextraction_plate,DNAextraction_well,
Vineyard ,soil ,Switzerland ,Zuerich,Erlenbach,6,Erlenbach_6,Erlenbach_2023-06-20_6,/BOKULICH_MATERIALS/SAMPLES/ENV4982,between vines ,NaN,2023-06-20,,,7.6,2024-02-01,DNA42,E2,
Vineyard ,soil ,Switzerland ,Zuerich,Fluntern,1A,Fluntern_1A,Fluntern_2023-06-20_1A,/BOKULICH_MATERIALS/SAMPLES/ENV4983,between vines ,Souvignier Gris ,2023-06-20,,,6.32,2024-06-10,DNA42,G2,
Vineyard ,soil ,Switzerland ,Zuerich,Fluntern,1B,Fluntern_1B,Fluntern_2023-06-20_1B,/BOKULICH_MATERIALS/SAMPLES/ENV4984,between vines ,Souvignier Gris ,2023-06-20,,,7.46,2024-06-10,DNA42,B3,
Vineyard ,soil ,Switzerland ,Zuerich,Fluntern,1C,Fluntern_1C,Fluntern_2023-06-20_1C,/BOKULICH_MATERIALS/SAMPLES/ENV4985,between vines ,Souvignier Gris ,2023-06-20,,,6.77,2024-02-01,DNA42,H1,
Vineyard ,soil ,Switzerland ,Zuerich,Erlenbach,1,Erlenbach_1,Erlenbach_2023-08-23_1,/BOKULICH_MATERIALS/SAMPLES/ENV4986,between vines ,Sauvitage,2023-08-23,,,7.5,2023-11-17,DNA31 ,F1,
Vineyard ,soil ,Switzerland ,Zuerich,Erlenbach,2,Erlenbach_2,Erlenbach_2023-08-23_2,/BOKULICH_MATERIALS/SAMPLES/ENV4987,between vines ,Sauvitage,2023-08-23,,,7.48,2023-11-17,DNA31 ,H1,
Vineyard ,soil ,Switzerland ,Zuerich,Erlenbach,3,Erlenbach_3,Erlenbach_2023-08-23_3,/BOKULICH_MATERIALS/SAMPLES/ENV4988,between vines ,calardis blanc ,2023-08-23,,,7.43,2023-11-14,DNA31 ,E2,
Vineyard ,soil ,Switzerland ,Zuerich,Erlenbach,4,Erlenbach_4,Erlenbach_2023-08-23_4,/BOKULICH_MATERIALS/SAMPLES/ENV4989,between vines ,calardis blanc ,2023-08-23,,,7.44,2023-11-14,DNA31 ,H2,
Vineyard ,soil ,Switzerland ,Zuerich,Erlenbach,5,Erlenbach_5,Erlenbach_2023-08-23_5,/BOKULICH_MATERIALS/SAMPLES/ENV4990,between vines ,calardis blanc ,2023-08-23,,,7.47,2023-11-17,DNA31 ,A2,
Vineyard ,soil ,Switzerland ,Zuerich,Erlenbach,6,Erlenbach_6,Erlenbach_2023-08-23_6,/BOKULICH_MATERIALS/SAMPLES/ENV4991,between vines ,NaN,2023-08-23,,,7.41,2023-11-17,DNA31 ,B1,
