SAMPLE_NAME,Collected by,COLLECTION_DATE,DESCRIPTION,BOKULICH.ENVIRONMENTAL_SAMPLE.GEO_LOC_NAME,BOKULICH.ENVIRONMENTAL_SAMPLE.ISOLATION_SOURCE,LOCATION_ID,BOKULICH.ENVIRONMENTAL_SAMPLE.LATITUDE,BOKULICH.ENVIRONMENTAL_SAMPLE.LONGITUDE,parents,,COUNT,68,,not used,numbers,ID on extraction plate
SB_must_freeze_immediately_1,Lena Flörl,2021-10-13 00:00:00 +0200,,Grenchen,must,Grenchen,7.4085074,47.1630425,/BOKULICH_LFLOERL/SAMPLING_BENCHMARKING/ENTRY191,,,,,ID1.38,38,1038
SB_must_freeze_immediately_2,Lena Flörl,2021-10-13 00:00:00 +0200,,Grenchen,must,Grenchen,7.408851,47.162828,/BOKULICH_LFLOERL/SAMPLING_BENCHMARKING/ENTRY191,,,,,ID1.39,39,1039
SB_must_freeze_immediately_3,Lena Flörl,2021-10-13 00:00:00 +0200,,Grenchen,must,Grenchen,7.408264,47.163233,/BOKULICH_LFLOERL/SAMPLING_BENCHMARKING/ENTRY191,,,,,ID1.40,40,1040
SB_must_4deg_24h_1,Lena Flörl,2021-10-13 00:00:00 +0200,,Grenchen,must,Grenchen,7.4085074,47.1630425,/BOKULICH_LFLOERL/SAMPLING_BENCHMARKING/ENTRY191,,,,,ID1.41,41,1041
SB_must_4deg_24h_2,Lena Flörl,2021-10-13 00:00:00 +0200,,Grenchen,must,Grenchen,7.408851,47.162828,/BOKULICH_LFLOERL/SAMPLING_BENCHMARKING/ENTRY191,,,,,ID1.42,42,1042
SB_must_4deg_24h_3,Lena Flörl,2021-10-13 00:00:00 +0200,,Grenchen,must,Grenchen,7.408264,47.163233,/BOKULICH_LFLOERL/SAMPLING_BENCHMARKING/ENTRY191,,,,,ID1.43,43,1043
SB_water_berry_wash_1,Lena Flörl,2021-10-13 00:00:00 +0200,water,Grenchen,berry_wash,Grenchen,7.4085074,47.1630425,/BOKULICH_LFLOERL/SAMPLING_BENCHMARKING/ENTRY191,,,,,ID1.44,44,1044
SB_water_berry_wash_2,Lena Flörl,2021-10-13 00:00:00 +0200,water,Grenchen,berry_wash,Grenchen,7.408851,47.162828,/BOKULICH_LFLOERL/SAMPLING_BENCHMARKING/ENTRY191,,,,,ID1.45,45,1045
SB_water_berry_wash_3,Lena Flörl,2021-10-13 00:00:00 +0200,water,Grenchen,berry_wash,Grenchen,7.408264,47.163233,/BOKULICH_LFLOERL/SAMPLING_BENCHMARKING/ENTRY191,,,,,ID1.46,46,1046
SB_PBS_berry_wash_1,Lena Flörl,2021-10-13 00:00:00 +0200,PBS,Grenchen,berry_wash,Grenchen,7.4085074,47.1630425,/BOKULICH_LFLOERL/SAMPLING_BENCHMARKING/ENTRY191,,,,,ID1.47,47,1047
SB_PBS_berry_wash_2,Lena Flörl,2021-10-13 00:00:00 +0200,PBS,Grenchen,berry_wash,Grenchen,7.408851,47.162828,/BOKULICH_LFLOERL/SAMPLING_BENCHMARKING/ENTRY191,,,,,ID1.48,48,1048
SB_PBS_berry_wash_3,Lena Flörl,2021-10-13 00:00:00 +0200,PBS,Grenchen,berry_wash,Grenchen,7.408264,47.163233,/BOKULICH_LFLOERL/SAMPLING_BENCHMARKING/ENTRY191,,,,,ID1.49,49,1049
SB_gylcerol_berry_wash_1,Lena Flörl,2021-10-13 00:00:00 +0200,gylcerol,Grenchen,berry_wash,Grenchen,7.4085074,47.1630425,/BOKULICH_LFLOERL/SAMPLING_BENCHMARKING/ENTRY191,,,,,ID1.50,50,1050
SB_gylcerol_berry_wash_2,Lena Flörl,2021-10-13 00:00:00 +0200,gylcerol,Grenchen,berry_wash,Grenchen,7.408851,47.162828,/BOKULICH_LFLOERL/SAMPLING_BENCHMARKING/ENTRY191,,,,,ID1.51,51,1051
SB_gylcerol_berry_wash_3,Lena Flörl,2021-10-13 00:00:00 +0200,gylcerol,Grenchen,berry_wash,Grenchen,7.408264,47.163233,/BOKULICH_LFLOERL/SAMPLING_BENCHMARKING/ENTRY191,,,,,ID1.52,52,1052
