id	SAMPLE_NAME	Plot	Location	Variety	Water_Stress	GEOL	Soil_type	Soil_depth	Precipitation	Latitude	Longitude	Year
364527_554-LP3-16S-0554	Valais_62	Miege_1	Miège	Chasselas	1724.0	17.0	Calcareous	variable_40-150	RU faible, <100 mm	46.31361111111111	7.538888888888889	2023
364527_555-LP3-16S-0555	Valais_77	Pinède_1	Leuk	Pinot noir	6216.0	62.0	Calcaire	above_150	RU faible, <100 mm	46.3075	7.6075	2023
364527_556-LP3-16S-0556	Valais_78	Pinède_2	Leuk	Chasselas	6216.0	62.0	Calcaire	above_150	RU faible, <100 mm	46.30611111111111	7.609444444444444	2023
364527_561-LP3-16S-0561	Valais_56	Muraz_2	Venthône	Chasselas	4816.0	48.0	Calcaire	above_150	RU moyenne, comprise entre 100 et 150 mm	46.29861111111111	7.523611111111111	2023
364527_562-LP3-16S-0562	Valais_75	Var_1	Salgesch	Chasselas	6116.0	61.0	Calcaire	above_150	RU grande, >150 mm	46.31527777777777	7.603333333333333	2023
364527_563-LP3-16S-0563	Valais_84	Visp_1	Visp	Pinot noir	2216.0	22.0	Calcaire	above_150	RU moyenne, comprise entre 100 et 150 mm	46.28361111111111	7.883611111111111	2023
364527_557-LP3-16S-0557	Valais_67	Géronde_1	Sierre	Pinot Noir	1725.0	17.0	Calcareous	100-150	RU faible, <100 mm	46.28611111111111	7.545833333333333	2023
364527_558-LP3-16S-0558	Valais_64	Miège_3	Miège	Pinot noir	1716.0	17.0	Calcaire	above_150	RU faible, <100 mm	46.31527777777777	7.554444444444444	2023
364527_565-LP3-16S-0565	Valais_80	Leuk_2	Leuk	Chasselas						46.31527777777777	7.649444444444444	2023
364528_213-LP3-16S-0789	Lavaux_2023-09-20_must_Plot4_RepA	4		Chasselas			Calcaire	100-180		46.4988570548289	6.70807175575627	2023
364528_220-LP3-16S-0796	Lavaux_2023-09-20_must_Plot4_RepB	4		Chasselas			Calcaire	100-180		46.4988570548289	6.70807175575627	2023
364528_210-LP3-16S-0786	Lavaux_2023-09-20_must_Plot4_RepC	4		Chasselas			Calcaire	100-180		46.4988570548289	6.70807175575627	2023
364528_196-LP3-16S-0772	Lavaux_2023-09-20_must_Plot4_RepD	4		Chasselas			Calcaire	100-180		46.4988570548289	6.70807175575627	2023
364528_195-LP3-16S-0771	Lavaux_2023-09-20_must_Plot4_RepE	4		Chasselas			Calcaire	100-180		46.4988570548289	6.70807175575627	2023
364528_234-LP3-16S-0810	Lavaux_2023-09-20_must_Plot5_RepA	5		Chasselas			Calcaire	100-180		46.4964065903741	6.70871201397826	2023
364528_240-LP3-16S-0816	Lavaux_2023-09-20_must_Plot5_RepB	5		Chasselas			Calcaire	100-180		46.4964065903741	6.70871201397826	2023
364528_243-LP3-16S-0819	Lavaux_2023-09-20_must_Plot5_RepC	5		Chasselas			Calcaire	100-180		46.4964065903741	6.70871201397826	2023
364528_238-LP3-16S-0814	Lavaux_2023-09-20_must_Plot5_RepD	5		Chasselas			Calcaire	100-180		46.4964065903741	6.70871201397826	2023
364528_252-LP3-16S-0828	Lavaux_2023-09-20_must_Plot5_RepE	5		Chasselas			Calcaire	100-180		46.4964065903741	6.70871201397826	2023
364528_228-LP3-16S-0804	Lavaux_2023-09-20_must_Plot9_RepA	9		Chasselas			Calcaire	100-180		46.4994682681065	6.71224196270189	2023
364528_235-LP3-16S-0811	Lavaux_2023-09-20_must_Plot9_RepB	9		Chasselas			Calcaire	100-180		46.4994682681065	6.71224196270189	2023
364528_246-LP3-16S-0822	Lavaux_2023-09-20_must_Plot9_RepC	9		Chasselas			Calcaire	100-180		46.4994682681065	6.71224196270189	2023
364528_254-LP3-16S-0830	Lavaux_2023-09-20_must_Plot9_RepD	9		Chasselas			Calcaire	100-180		46.4994682681065	6.71224196270189	2023
364528_232-LP3-16S-0808	Lavaux_2023-09-20_must_Plot9_RepE	9		Chasselas			Calcaire	100-180		46.4994682681065	6.71224196270189	2023
364528_202-LP3-16S-0778	Lavaux_2023-09-20_must_Plot12_RepA	12		Chasselas			Calcique	above_150		46.5026282835503	6.70495171985618	2023
364528_224-LP3-16S-0800	Lavaux_2023-09-20_must_Plot12_RepB	12		Chasselas			Calcique	above_150		46.5026282835503	6.70495171985618	2023
364528_218-LP3-16S-0794	Lavaux_2023-09-20_must_Plot12_RepC	12		Chasselas			Calcique	above_150		46.5026282835503	6.70495171985618	2023
364528_209-LP3-16S-0785	Lavaux_2023-09-20_must_Plot12_RepD	12		Chasselas			Calcique	above_150		46.5026282835503	6.70495171985618	2023
364528_207-LP3-16S-0783	Lavaux_2023-09-20_must_Plot12_RepE	12		Chasselas			Calcique	above_150		46.5026282835503	6.70495171985618	2023
364528_193-LP3-16S-0769	Lavaux_2023-09-20_must_Plot13_RepA	13		Chasselas			Calcaire	100-180		46.4999921506673	6.70610909063848	2023
364528_203-LP3-16S-0779	Lavaux_2023-09-20_must_Plot13_RepB	13		Chasselas			Calcaire	100-180		46.4999921506673	6.70610909063848	2023
364528_200-LP3-16S-0776	Lavaux_2023-09-20_must_Plot13_RepC	13		Chasselas			Calcaire	100-180		46.4999921506673	6.70610909063848	2023
364528_212-LP3-16S-0788	Lavaux_2023-09-20_must_Plot13_RepD	13		Chasselas			Calcaire	100-180		46.4999921506673	6.70610909063848	2023
364528_221-LP3-16S-0797	Lavaux_2023-09-20_must_Plot13_RepE	13		Chasselas			Calcaire	100-180		46.4999921506673	6.70610909063848	2023
