SAMPLE_NAME,Frequency
Erlenbach_2023-10-10_6,2908.0
21DL07S_BL30_wine,2839.0
DNA17_PosCtrl,2680.0
MV_Post-AF_Plot17_2022-09-30,2653.0
Valais_23,2633.0
Lavaux_2022-08-10_soil_Plot12,2581.0
Lavaux_2021-09-30_must_Plot11_Row6/Vine22_ID66,2556.0
Lavaux_2023-08-24_soil_Plot17,2550.0
Valais_98,2537.0
DNA40_PosCtrl,2495.0
Lavaux_2021-09-30_must_Plot15_Row4/Vine10_ID122,2468.0
Valais_25,2363.0
MV_Must_Plot20_2022-09-13,2305.0
Lavaux_2021-09-30_must_Plot5_Row2/Vine30_ID26,2270.0
Lavaux_2023-08-24_bark_Plot14,2193.0
DNA15_PosCtrl,2187.0
22DL07_5656_lees,2164.0
Lavaux_2023-08-24_soil_Plot14,2139.0
Erlenbach_2023-10-10_3,2121.0
Lavaux_2021-09-30_must_Plot18_Row11/Vine14_ID194,2017.0
Lavaux_2023-09-20_must_Plot13_RepA,2001.0
Lavaux_2023-08-24_soil_Plot13,1996.0
Lavaux_2021-09-30_must_Plot12_Row6/Vine11_ID88,1983.0
Leytron_Agroscope4_17-08-2023_soil,1948.0
Valais_34,1915.0
Lavaux_2021-09-30_must_Plot17_Row11/Vine20_ID167,1867.0
Grenchen_2023-10-10_2C,1821.0
Lavaux_2021-09-30_must_Plot15_Row11/Vine20_ID135,1815.0
Valais_62,1770.0
Lavaux_2021-09-30_must_Plot20_Row4/Vine30_ID203,1759.0
Lavaux_2021-09-30_must_Plot18_Row4/Vine8_ID187,1733.0
Lavaux_2023-09-20_must_Plot20_RepA,1730.0
Lavaux_2021-09-30_must_Plot20_Row2/Vine30_ID200b,1712.0
MV_Must_Plot15_2022-09-13,1700.0
Leytron_Agroscope1_17-08-2023_soil,1684.0
Erlenbach_2022-08-11_1,1670.0
Lavaux_2021-09-30_must_Plot11_Row3/Vine19_ID59,1669.0
Valais_35,1643.0
Lavaux_2021-09-30_must_Plot17_Row12/Vine10_ID169,1631.0
Erlenbach_2022-10-20_1,1627.0
MV_Must_Plot19_2022-09-13,1601.0
21DL02S_1090_lees,1584.0
Lavaux_2022-08-10_soil_Plot19,1575.0
Lavaux_2023-09-20_must_Plot15_RepC,1552.0
MV_Must_Plot13_2023-09-23,1521.0
Valais_30,1481.0
Miege_3_30-08-2023_berries,1407.0
Fluntern_2023-10-10_1C,1395.0
Lavaux_2023-09-20_must_Plot4_RepD,1347.0
Erlenbach_2023-08-23_5,1320.0
DNA11_PosCtrl_2,1316.0
DNA42_PosCtrl,1252.0
Valais_94,1208.0
Valais_66,1184.0
Valais_84,1184.0
MV_Must_Plot9_2022-09-13,1183.0
Fluntern_2023-10-10_1B,1175.0
DNA14_PosCtrl_2,1161.0
Lavaux_2023-08-24_bark_Plot9,1156.0
Lavaux_2023-09-20_must_Plot19_RepB,1127.0
MV_Post-AF_Plot20_2023-10-11,1099.0
Valais_93,1089.0
Erlenbach_2023-08-23_3,1060.0
Valais_90,1030.0
Valais_87,1002.0
Lavaux_2023-08-24_bark_Plot20,1001.0
Lavaux_2021-09-30_must_Plot14_Row17/Vine10_ID118,993.0
Lavaux_2023-08-24_soil_Plot9,988.0
Valais_17,975.0
Valais_13,941.0
SB_must_RT_immediately_3,926.0
Lavaux_2021-09-30_must_Plot17_Row3/Vine25_ID147,903.0
Valais_11,893.0
Grenchen_2022-07-02_1B,889.0
Valais_22,867.0
visc_4deg_2,855.0
Lavaux_2022-09-09_must_Plot19_RepE,823.0
Lavaux_2021-09-30_must_Plot9_Row8/Vine30_ID49,778.0
empty,762.0
Erlenbach_2022-08-11_3,759.0
Lavaux_2021-08-31_bark_Plot11,757.0
Lavaux_2021-09-30_must_Plot12_Row4/Vine50_ID84,754.0
Lavaux_2021-09-30_must_Plot15_Row3/Vine20_ID121b,753.0
DNA15_NegCtrl,739.0
MV_Post-MLF_Plot5_2022-01-24,736.0
22DL01S_4609_wine,728.0
MV_Post-AF_Plot15_2023-10-11,717.0
DNA24_posCtrl_3,709.0
Sav_1_30-08-2023_berries,699.0
Valais_24,697.0
Lavaux_2021-09-30_must_Plot4_Row8/Vine30_ID5,696.0
Lavaux_2021-09-30_must_Plot18_Row7/Vine14_ID190,673.0
MV_Post-MLF_Plot13_2022-01-24,670.0
Lavaux_2021-09-30_must_Plot20_Row9/Vine20_ID210,660.0
Valais_21,650.0
Lavaux_2021-09-30_must_Plot20_Row3/Vine20_ID201,641.0
Valais_16,627.0
MV_Post-AF_Plot9_2023-10-11,627.0
Lavaux_2021-09-30_must_Plot15_Row13/Vine39_ID140,627.0
Valais_3,623.0
Erlenbach_2022-06-30_2,615.0
Lavaux_2021-09-30_must_Plot15_Row10/Vine30_ID134,612.0
MV_Must_Plot12_2023-09-23,610.0
Lavaux_2021-09-30_must_Plot15_Row11/Vine38_ID136,610.0
Valais_8,609.0
PCR1water_PCR2noPNA_2,607.0
Lavaux_2021-09-30_must_Plot17_Row14/Vine10_ID173,607.0
DNA42_NegCtrl,601.0
Lavaux_2021-09-30_must_Plot17_Row5/Vine20_ID153,600.0
MV_Post-MLF_Plot11_2022-01-24,600.0
22DL02M_4630_lees,588.0
Lavaux_2021-09-30_must_Plot4_Row10/Vine10_ID7,583.0
Valais_77,581.0
Leytron_Agroscope3_30-08-2023_berries,581.0
must_min20_3,578.0
SB_must_RT_immediately_1,576.0
21DL01S_2653_wine,571.0
Lavaux_2023-08-24_bark_Plot5,549.0
Lavaux_2021-09-30_must_Plot9_Row4/Vine10_ID40,547.0
Lavaux_2021-09-30_must_Plot18_Row9/Vine14_ID192,541.0
Rebhalde_05-09-2023_soil,534.0
Weinmanufaktur_14-09-2023_berries,529.0
Lavaux_2023-09-20_must_Plot15_RepE,526.0
Lavaux_2021-09-30_must_Plot17_Row14/Vine30_ID174,526.0
MV_Post-AF_Plot14_2023-10-11,524.0
MV_Post-AF_Plot12_2022-09-30,524.0
Lavaux_2021-09-30_must_Plot9_Row9/Vine20_ID50,524.0
,518.0
Valais_10,511.0
Lavaux_2021-09-30_must_Plot14_Row2/Vine4_ID103,508.0
Lavaux_2021-09-30_must_Plot15_Row12/Vine9_ID137,500.0
MV_Post-AF_Plot15_2022-09-30,497.0
Valais_80,494.0
Lavaux_2022-09-09_must_Plot15_RepD,491.0
must_4deg_3,487.0
Lavaux_2021-09-30_must_Plot18_Row3/Vine14_ID186,481.0
Lavaux_2021-09-30_must_Plot12_Row2/Vine10_ID76,480.0
must_min20_2,478.0
Hasenhalde_14-09-2023_berries,450.0
Lavaux_2021-09-30_must_Plot15_Row3/Vine20_ID121c,449.0
MV_Post-AF_Plot18_Rep2_2021-10-16,434.0
Lavaux_2021-09-30_must_Plot20_Row10/Vine10_ID211,432.0
MV_Post-MLF_Plot17_2022-01-24,430.0
Erlenbach_2022-06-03_3,429.0
Lavaux_2021-09-30_must_Plot18_Row6/Vine7_ID189,424.0
Lavaux_2022-08-10_must_Plot12,419.0
Lavaux_2021-09-30_must_Plot13_Row3/Vine30_ID98,412.0
MV_Post-AF_Plot19_Rep3_2021-10-16,411.0
Lavaux_2021-09-30_must_Plot17_Row4/Vine15_ID149,408.0
MV_Must_Plot14_2023-09-23,407.0
21DL08M_1885_lees,400.0
Valais_15,395.0
must_min20_1,395.0
Lavaux_2023-09-20_must_Plot12_RepE,387.0
Lavaux_2021-09-30_must_Plot15_Row6/Vine10_ID126,379.0
Baur_Wein_05-09-2023_soil,376.0
DO NOT USE (DUPLICATE),374.0
MV_Post-AF_Plot5_Rep1_2021-10-16,360.0
Lavaux_2021-09-30_must_Plot12_Row2/Vine30_ID77,358.0
Hasenhalde_05-09-2023_soil,358.0
Lavaux_2023-09-20_must_Plot4_RepE,357.0
MV_Post-AF_Plot11_Rep3_2021-10-16,355.0
SB_must_RT_24h_3,354.0
Grenchen_2021-10-13_soil_1C,352.0
Lavaux_2021-09-30_must_Plot17_Row7/Vine40_ID160,350.0
empty,349.0
Ruetihof_14-09-2023_berries,348.0
Valais_33,346.0
Lavaux_2021-09-30_must_Plot12_Row3/Vine41_ID80,343.0
SB_must_RT_24h_2,343.0
Lavaux_2021-09-30_must_Plot11_Row4/Vine32_ID62,340.0
SB_water_berry_sonication_1,339.0
DNA24_posCtrl_4,337.0
Valais_14,337.0
Lavaux_2021-08-31_leaf_Plot5,336.0
Lavaux_2021-09-30_must_Plot20_Row16/Vine10_ID218,326.0
Lavaux_2023-09-20_must_Plot5_RepE,320.0
MV_Post-MLF_Plot14_2022-01-24,319.0
DNA24_negCtrl_3,318.0
Lavaux_2023-09-20_must_Plot15_RepA,313.0
Lavaux_2023-09-20_must_Plot12_RepB,310.0
Diederik_14-09-2023_berries,308.0
SB_PBS_berry_sonication_1,307.0
Lavaux_2023-09-20_must_Plot20_RepE,303.0
Lavaux_2021-09-30_must_Plot14_Row6/Vine12_ID107,301.0
DO NOT USE (DUPLICATE),300.0
21DL01S_2653_lees,295.0
Lavaux_2021-09-30_must_Plot17_Row10/Vine30_ID166,291.0
Lavaux_2022-09-09_must_Plot13_RepB,290.0
Lavaux_2022-03-08_soil_Plot14,289.0
Lavaux_2021-08-31_must_Plot15,288.0
Lavaux_2021-09-30_must_Plot20_Row15/Vine5_ID217,287.0
Strickhof_14-09-2023_berries,287.0
Lavaux_2022-08-10_must_Plot13,287.0
Lavaux_2021-09-30_must_Plot15_Row4/Vine30_ID123,286.0
Lavaux_2023-08-24_bark_Plot12,281.0
22DL04M_8419_wine,280.0
Ruetihof_05-09-2023_soil,279.0
MV_Post-AF_Plot11_Rep1_2021-10-16,277.0
Lavaux_2021-09-30_must_Plot17_Row12/Vine30_ID170,276.0
Lavaux_2021-09-30_must_Plot17_Row13/Vine20_ID171,274.0
Lavaux_2021-09-30_must_Plot17_Row8/Vine10_ID161,274.0
DO NOT USE (DUPLICATE),269.0
DO NOT USE (DUPLICATE),267.0
visc_min20_2,266.0
Lavaux_2021-09-30_must_Plot4_Row14/Vine10_ID13,264.0
DNA38_NegCtrl,264.0
DO NOT USE (DUPLICATE),263.0
Lavaux_2023-09-20_must_Plot12_RepD,261.0
22DL05S_7101_lees,261.0
Champlan_1_30-08-2023_berries,260.0
Lavaux_2022-09-09_must_Plot9_RepA,260.0
Muraz_1_30-08-2023_berries,259.0
Valais_6,258.0
MV_Post-MLF_Plot12_2023-12-11,258.0
Lavaux_2023-09-20_must_Plot9_RepA,256.0
Lavaux_2022-08-10_bark_Plot20,255.0
DO NOT USE (DUPLICATE),253.0
SB_gylcerol_berry_sonication_2,249.0
Lavaux_2023-09-20_must_Plot17_RepA,248.0
Lavaux_2021-09-30_must_Plot12_Row5/Vine60_ID87,248.0
DNA16_NegCtrl,247.0
Lavaux_2021-09-30_must_Plot19_Row3/Vine10_ID196,246.0
PCR1water_PCR2PNA_1,240.0
Lavaux_2023-08-24_leaf_Plot13_washed,239.0
DO NOT USE (DUPLICATE),239.0
Lavaux_2021-09-30_must_Plot12_Row7/Vine40_ID92,239.0
22DL05S_4763_lees,238.0
SB_PBS_berry_sonication_2,237.0
Lavaux_2021-09-30_must_Plot11_Row2/Vine31_ID57,235.0
SB_NaCl_sol_berry_sonication_3,233.0
visc_4deg_1,232.0
Lavaux_2021-09-30_must_Plot17_Row10/Vine10_ID165,230.0
Lavaux_2022-09-09_must_Plot19_RepC,230.0
Valais_29,230.0
Lavaux_2021-09-30_must_Plot4_Row12/Vine10_ID10,230.0
Valais_67,229.0
Lavaux_2021-09-30_must_Plot13_Row3/Vine10_ID97,227.0
Lavaux_2021-09-30_must_Plot17_Row8/Vine32_ID162,225.0
Grenchen_2022-10-20_1A,225.0
22DL07_8069_wine,224.0
Grenchen_2022-07-02_2A_grapes,222.0
,221.0
MV_Post-MLF_Plot4_2022-01-24,220.0
MV_Must_Plot5_2022-09-13,219.0
Lavaux_2021-09-30_must_Plot20_Row8/Vine11_ID208,216.0
Lavaux_2021-09-30_must_Plot17_Row5/Vine40_ID155,215.0
Lavaux_2021-08-31_leaf_Plot20,214.0
Lavaux_2021-09-30_must_Plot13_Row1/Vine10_ID94,212.0
Lavaux_2021-09-30_must_Plot13_Row2/Vine20_ID96,212.0
Baur_Wein_14-09-2023_berries,211.0
PCR1water_PCR2water-PNA_1,211.0
Erlenbach_2022-06-30_3,209.0
visc_min20_1,208.0
Lavaux_2023-09-20_must_Plot15_RepB,208.0
Valais_9,205.0
Lavaux_2023-09-20_must_Plot20_RepD,202.0
MV_Post-AF_Plot12_Rep3_2021-10-16,199.0
empty,196.0
Valais_37,194.0
Lavaux_2021-09-30_must_Plot18_Row10/Vine7_ID193,193.0
SB_must_min20_1month_3,193.0
Valais_56,193.0
Valais_36,193.0
Valais_64,192.0
Grenchen_2022-07-02_2C_grapes,191.0
DNA41_negCtrl_2,191.0
Lavaux_2021-09-30_must_Plot17_Row9/Vine20_ID163,189.0
Lavaux_2021-08-31_must_Plot11,187.0
Lavaux_2021-09-30_must_Plot12_Row5/Vine20_ID85,187.0
,184.0
Lavaux_2021-09-30_must_Plot17_Row13/Vine40_ID172,184.0
MV_Must_Plot15_2023-09-23,182.0
MV_Post-AF_Plot19_2023-10-11,177.0
Lavaux_2021-09-30_must_Plot17_Row17/Vine40_ID180,176.0
Lavaux_2022-09-09_must_Plot5_RepE,176.0
DO NOT USE (DUPLICATE),176.0
Valais_89,176.0
Lavaux_2022-08-10_must_Plot11,176.0
Lavaux_2021-09-30_must_Plot12_Row7/Vine60_ID93,175.0
MV_Must_Plot20_2023-09-23,174.0
Leytron_Agroscope4_30-08-2023_berries,173.0
Lavaux_2022-09-09_must_Plot12_RepD,173.0
Lavaux_2022-09-09_must_Plot15_RepC,173.0
Lavaux_2021-09-30_must_Plot20_Row8/Vine30_ID209,173.0
DO NOT USE (DUPLICATE),173.0
Lavaux_2023-08-24_bark_Plot17,172.0
