id 	plot	row	vine	Lat	Long
Plot_15_row_7_vine_39	15	7	39	46.505425	6.702125
Plot_15_row_8_vine_10	15	8	10	46.505286	6.701887
Plot_15_row_8_vine_29	15	8	29	46.505373	6.702016
Plot_15_row_9_vine_20	15	9	20	46.505347	6.701951
Plot_15_row_10_vine_10	15	10	10	46.505305	6.701857
Plot_15_row_10_vine_30	15	10	30	46.505423	6.702038
Plot_15_row_11_vine_20	15	11	20	46.505361	6.701916
Plot_15_row_11_vine_38	15	11	38	46.505457	6.702059
Plot_15_row_12_vine_9	15	12	9	46.505316	6.701829
Plot_15_row_12_vine_30	15	12	30	46.505425	6.701988
Plot_15_row_13_vine_20	15	13	20	46.505377	6.701887
Plot_15_row_13_vine_39	15	13	39	46.505468	6.702017
Plot_15_row_14_vine_10	15	14	10	46.505327	6.701793
Plot_15_row_14_vine_31	15	14	31	46.505431	6.701942
Plot_15_row_15_vine_20	15	15	20	46.505411	6.701888
Plot_17_row_2_vine_5	17	2	5	46.487564	6.721035
Plot_17_row_3_vine_10	17	3	10	46.487586	6.720968
Plot_17_row_3_vine_15	17	3	15	46.487607	6.720914
Plot_17_row_3_vine_25	17	3	25	46.487624	6.720855
Plot_17_row_4_vine_5	17	4	5	46.487565	6.721038
Plot_17_row_4_vine_15	17	4	15	46.487611	6.720923
Plot_17_row_4_vine_25	17	4	25	46.487651	6.720788
Plot_17_row_4_vine_35	17	4	35	46.487697	6.720665
Plot_17_row_5_vine_10	17	5	10	46.487621	6.72097
Plot_17_row_5_vine_20	17	5	20	46.487655	6.720865
Plot_17_row_5_vine_30	17	5	30	46.487686	6.72077
Plot_17_row_5_vine_40	17	5	40	46.487717	6.720661
Plot_17_row_5_vine_45	17	5	45	46.487742	6.720649
Plot_17_row_6_vine_10	17	6	10	46.487614	6.721037
Plot_17_row_6_vine_30	17	6	30	46.487675	6.72085
Plot_17_row_7_vine_21	17	7	21	46.487663	6.720932
Plot_17_row_7_vine_40	17	7	40	46.48772	6.720742
Plot_17_row_8_vine_10	17	8	10	46.487661	6.721041
Plot_17_row_8_vine_32	17	8	32	46.487723	6.720829
Plot_17_row_9_vine_20	17	9	20	46.487706	6.720949
Plot_17_row_9_vine_40	17	9	40	46.487768	6.720767
Plot_17_row_10_vine_10	17	10	10	46.487694	6.721063
Plot_17_row_10_vine_30	17	10	30	46.487781	6.720779
Plot_17_row_11_vine_20	17	11	20	46.487746	6.720918
Plot_17_row_11_vine_40	17	11	40	46.487803	6.72074
Plot_17_row_12_vine_10	17	12	10	46.487722	6.721075
Plot_17_row_12_vine_30	17	12	30	46.487781	6.720862
Plot_17_row_13_vine_20	17	13	20	46.487757	6.72099
Plot_17_row_13_vine_40	17	13	40	46.487826	6.720788
Plot_17_row_14_vine_10	17	14	10	46.487744	6.721095
Plot_17_row_14_vine_30	17	14	30	46.487809	6.720894
Plot_17_row_15_vine_21	17	15	21	46.487793	6.721004
Plot_17_row_15_vine_40	17	15	40	46.487853	6.720786
Plot_17_row_16_vine_10	17	16	10	46.487764	6.721124
Plot_17_row_16_vine_30	17	16	30	46.487834	6.720893
Plot_17_row_17_vine_20	17	17	20	46.487802	6.721024
