id	SAMPLE_NAME	CTRL	Project	DNA_extraction_plate	Plate	Fungal conc. (ng/uL)
364525_446-LP3-ITS-0446	SB_PBS_berry_sonication_3	Sample	SamplingBenchmarking	DNA17	P5	8.83
364525_325-LP3-ITS-0325	Lavaux_2021-08-31_soil_Plot18	Sample	Lavaux	DNA15	P4	1.36
364525_428-LP3-ITS-0428	DO NOT USE (DUPLICATE)	Sample	NOT-USE	DNA17	P5	6.27
364525_429-LP3-ITS-0429	SB_water_berry_wash_1	Sample	SamplingBenchmarking	DNA17	P5	5.02
364525_308-LP3-ITS-0308	DO NOT USE (DUPLICATE)	Sample	NOT-USE	DNA15	P4	7.53
364525_430-LP3-ITS-0430	SB_water_berry_wash_2	Sample	SamplingBenchmarking	DNA17	P5	7.99
364525_309-LP3-ITS-0309	Lavaux_2022-03-08_soil_Plot13	Sample	Lavaux	DNA15	P4	7.97
364525_431-LP3-ITS-0431	SB_water_berry_wash_3	Sample	SamplingBenchmarking	DNA17	P5	8.02
364525_310-LP3-ITS-0310	empty	Sample	NOT-USE	DNA15	P4	7.14
364525_436-LP3-ITS-0436	SB_gylcerol_berry_wash_2	Sample	SamplingBenchmarking	DNA17	P5	7.97
364525_315-LP3-ITS-0315	empty	Sample	NOT-USE	DNA15	P4	0.97
364525_437-LP3-ITS-0437	SB_gylcerol_berry_wash_3	Sample	SamplingBenchmarking	DNA17	P5	4.48
364525_316-LP3-ITS-0316	Lavaux_2022-03-08_soil_Plot9	Sample	Lavaux	DNA15	P4	7.97
364525_317-LP3-ITS-0317	empty	Sample	NOT-USE	DNA15	P4	5.22
364525_432-LP3-ITS-0432	SB_PBS_berry_wash_1	Sample	SamplingBenchmarking	DNA17	P5	3.7
364525_311-LP3-ITS-0311	Lavaux_2022-03-08_soil_Plot12	Sample	Lavaux	DNA15	P4	10.03
364525_433-LP3-ITS-0433	SB_PBS_berry_wash_2	Sample	SamplingBenchmarking	DNA17	P5	11.17
364525_312-LP3-ITS-0312	Lavaux_2022-03-08_soil_Plot11	Sample	Lavaux	DNA15	P4	6.32
364525_434-LP3-ITS-0434	SB_PBS_berry_wash_3	Sample	SamplingBenchmarking	DNA17	P5	5.32
364525_313-LP3-ITS-0313	Lavaux_2022-03-08_soil_Plot15	Sample	Lavaux	DNA15	P4	4.31
364525_435-LP3-ITS-0435	SB_gylcerol_berry_wash_1	Sample	SamplingBenchmarking	DNA17	P5	7.89
364525_314-LP3-ITS-0314	Lavaux_2022-03-08_soil_Plot18	Sample	Lavaux	DNA15	P4	3.9
364525_461-LP3-ITS-0461	must_4deg_2	Sample	SamplingBenchmarking	DNA17	P5	9.55
364525_340-LP3-ITS-0340	Grenchen_2021-10-13_soil_2C	Sample	SoilColonialization	DNA15	P4	8.08
364525_219-LP3-ITS-0219	Lavaux_2022-09-09_must_Plot4_RepB	Sample	Lavaux	DNA14	P3	2.94
364525_462-LP3-ITS-0462	must_4deg_3	Sample	SamplingBenchmarking	DNA17	P5	8.22
364525_341-LP3-ITS-0341	DNA15_NegCtrl	NegCtrl	SoilColonialization	DNA15	P4	0.39
364525_220-LP3-ITS-0220	Lavaux_2022-09-09_must_Plot9_RepD	Sample	Lavaux	DNA14	P3	1.95
364525_463-LP3-ITS-0463	cotton_blank1	Sample	SamplingBenchmarking	DNA17	P5	0.001
364525_342-LP3-ITS-0342	Grenchen_2021-10-13_soil_2B	Sample	SoilColonialization	DNA15	P4	4.32
364525_221-LP3-ITS-0221	Lavaux_2022-09-09_must_Plot14_RepA	Sample	Lavaux	DNA14	P3	2.15
364525_464-LP3-ITS-0464	cotton_blank2	Sample	SamplingBenchmarking	DNA17	P5	0.001
364525_343-LP3-ITS-0343	Grenchen_2021-10-13_soil_2A	Sample	SoilColonialization	DNA15	P4	7.94
364525_222-LP3-ITS-0222	Lavaux_2022-09-09_must_Plot17_RepA	Sample	Lavaux	DNA14	P3	1.43
364525_458-LP3-ITS-0458	must_min20_2	Sample	SamplingBenchmarking	DNA17	P5	6.96
364525_459-LP3-ITS-0459	must_min20_3	Sample	SamplingBenchmarking	DNA17	P5	10.66
364525_338-LP3-ITS-0338	Erlenbach_2022-08-11_1	Sample	SoilColonialization	DNA15	P4	0.61
364525_460-LP3-ITS-0460	must_4deg_1	Sample	SamplingBenchmarking	DNA17	P5	7.34
