id	SAMPLE_NAME	plot	row	vine	Lat	Long
364527_096-LP3-16S-0096	Lavaux_2021-09-30_must_Plot18_Row3/Vine14_ID186	18	3	14	46.494002	6.713009
364527_090-LP3-16S-0090	Lavaux_2021-09-30_must_Plot18_Row4/Vine8_ID187	18	4	8	46.493973	6.713062
364527_181-LP3-16S-0181	Lavaux_2021-09-30_must_Plot18_Row5/Vine14_ID188	18	5	14	46.494017	6.713037
364527_078-LP3-16S-0078	Lavaux_2021-09-30_must_Plot18_Row6/Vine7_ID189	18	6	7	46.493982	6.713093
364527_187-LP3-16S-0187	Lavaux_2021-09-30_must_Plot18_Row7/Vine14_ID190	18	7	14	46.49403	6.713063
364528_328-LP3-16S-0904	Lavaux_2021-09-30_must_Plot18_Row8/Vine7_ID191	18	8	7	46.494003	6.713115
364527_081-LP3-16S-0081	Lavaux_2021-09-30_must_Plot18_Row9/Vine14_ID192	18	9	14	46.494051	6.713084
364527_188-LP3-16S-0188	Lavaux_2021-09-30_must_Plot18_Row10/Vine7_ID193	18	10	7	46.494016	6.713148
364527_086-LP3-16S-0086	Lavaux_2021-09-30_must_Plot18_Row11/Vine14_ID194	18	11	14	46.494079	6.713138
364527_149-LP3-16S-0149	Lavaux_2021-09-30_must_Plot19_Row2/Vine5_ID195	19	2	5	46.495252	6.716084
364527_173-LP3-16S-0173	Lavaux_2021-09-30_must_Plot19_Row3/Vine10_ID196	19	3	10	46.495233	6.716145
364528_335-LP3-16S-0911	Lavaux_2021-09-30_must_Plot19_Row4/Vine5_ID197	19	4	5	46.495258	6.716093
364527_013-LP3-16S-0013	Lavaux_2021-09-30_must_Plot19_Row4/Vine11_ID198	19	4	11	46.495243	6.716154
364528_322-LP3-16S-0898	Lavaux_2021-09-30_must_Plot20_Row2/Vine11_ID199	20	2	11	46.493102	6.72101
364527_091-LP3-16S-0091	Lavaux_2021-09-30_must_Plot20_Row2/Vine30_ID200b	20	2	30	46.493074	6.720806
364527_190-LP3-16S-0190	Lavaux_2021-09-30_must_Plot20_Row3/Vine20_ID201	20	3	20	46.493099	6.720902
364527_053-LP3-16S-0053	Lavaux_2021-09-30_must_Plot20_Row4/Vine10_ID202	20	4	10	46.493123	6.720973
364527_011-LP3-16S-0011	Lavaux_2021-09-30_must_Plot20_Row4/Vine30_ID203	20	4	30	46.493098	6.720806
364527_083-LP3-16S-0083	Lavaux_2021-09-30_must_Plot20_Row5/Vine20_ID204	20	5	20	46.493125	6.720916
364528_319-LP3-16S-0895	Lavaux_2021-09-30_must_Plot20_Row6/Vine10_ID205	20	6	10	46.49315	6.720971
364528_334-LP3-16S-0910	Lavaux_2021-09-30_must_Plot20_Row6/Vine30_ID206	20	6	30	46.493125	6.72079
364528_338-LP3-16S-0914	Lavaux_2021-09-30_must_Plot20_Row7/Vine20_ID207	20	7	20	46.493152	6.720897
364527_040-LP3-16S-0040	Lavaux_2021-09-30_must_Plot20_Row8/Vine11_ID208	20	8	11	46.493178	6.720956
364527_021-LP3-16S-0021	Lavaux_2021-09-30_must_Plot20_Row8/Vine30_ID209	20	8	30	46.49315	6.72077
