id	SAMPLE_NAME	plot	row	vine	Lat	Long
364525_027-LP3-ITS-0027	Lavaux_2021-09-30_must_Plot4_Row6/Vine10_ID1	4	6	10	46.498412	6.708026
364525_048-LP3-ITS-0048	Lavaux_2021-09-30_must_Plot4_Row6/Vine30_ID2	4	6	30	46.498521	6.708104
364525_166-LP3-ITS-0166	Lavaux_2021-09-30_must_Plot4_Row7/Vine20_ID3	4	7	20	46.498458	6.708079
364525_019-LP3-ITS-0019	Lavaux_2021-09-30_must_Plot4_Row8/Vine10_ID4	4	8	10	46.498383	6.708045
364525_075-LP3-ITS-0075	Lavaux_2021-09-30_must_Plot4_Row8/Vine30_ID5	4	8	30	46.498503	6.708129
364525_001-LP3-ITS-0001	Lavaux_2021-09-30_must_Plot4_Row9/Vine20_ID6	4	9	20	46.498438	6.708104
364525_017-LP3-ITS-0017	Lavaux_2021-09-30_must_Plot4_Row10/Vine10_ID7	4	10	10	46.49838	6.708084
364526_326-LP3-ITS-0902	Lavaux_2021-09-30_must_Plot4_Row10/Vine30_ID8	4	10	30	46.498487	6.708157
364525_026-LP3-ITS-0026	Lavaux_2021-09-30_must_Plot4_Row11/Vine20_ID9	4	11	20	46.498434	6.708141
364525_172-LP3-ITS-0172	Lavaux_2021-09-30_must_Plot4_Row12/Vine10_ID10	4	12	10	46.498368	6.708117
364525_247-LP3-ITS-0247	Lavaux_2021-09-30_must_Plot4_Row12/Vine30_ID11	4	12	30	46.498478	6.708195
364525_165-LP3-ITS-0165	Lavaux_2021-09-30_must_Plot4_Row13/Vine20_ID12	4	13	20	46.498422	6.708171
364525_068-LP3-ITS-0068	Lavaux_2021-09-30_must_Plot4_Row14/Vine10_ID13	4	14	10	46.498374	6.708161
364525_144-LP3-ITS-0144	Lavaux_2021-09-30_must_Plot4_Row14/Vine30_ID14	4	14	30	46.498486	6.708237
364525_174-LP3-ITS-0174	Lavaux_2021-09-30_must_Plot4_Row15/Vine20_ID15	4	15	20	46.498422	6.708214
364525_057-LP3-ITS-0057	Lavaux_2021-09-30_must_Plot4_Row16/Vine10_ID16	4	16	10	46.498365	6.708196
364525_034-LP3-ITS-0034	Lavaux_2021-09-30_must_Plot4_Row16/Vine30_ID17	4	16	30	46.498459	6.708263
364525_155-LP3-ITS-0155	Lavaux_2021-09-30_must_Plot4_Row17/Vine20_ID18	4	17	20	46.498404	6.708244
364525_139-LP3-ITS-0139	Lavaux_2021-09-30_must_Plot4_Row18/Vine10_ID19	4	18	10	46.498358	6.70823
364526_332-LP3-ITS-0908	Lavaux_2021-09-30_must_Plot4_Row18/Vine30_ID20	4	18	30	46.498463	6.708325
364525_210-LP3-ITS-0210	Lavaux_2021-09-30_must_Plot4_Row19/Vine20_ID21	4	19	20	46.498405	6.708304
364525_159-LP3-ITS-0159	Lavaux_2021-09-30_must_Plot4_Row20/Vine10_ID22	4	20	10	46.498355	6.708289
364525_018-LP3-ITS-0018	Lavaux_2021-09-30_must_Plot4_Row20/Vine30_ID23	4	20	30	46.498448	6.708355
364525_058-LP3-ITS-0058	Lavaux_2021-09-30_must_Plot4_Row21/Vine20_ID24	4	21	20	46.498402	6.708343
364525_067-LP3-ITS-0067	Lavaux_2021-09-30_must_Plot5_Row2/Vine10_ID25	5	2	10	46.495539	6.709088
364525_008-LP3-ITS-0008	Lavaux_2021-09-30_must_Plot5_Row2/Vine30_ID26	5	2	30	46.495657	6.708924
364525_153-LP3-ITS-0153	Lavaux_2021-09-30_must_Plot5_Row2/Vine50_ID27	5	2	50	46.495747	6.708788
364525_131-LP3-ITS-0131	Lavaux_2021-09-30_must_Plot5_Row3/Vine20_ID28	5	3	20	46.495607	6.709018
364525_033-LP3-ITS-0033	Lavaux_2021-09-30_must_Plot5_Row3/Vine40_ID29	5	3	40	46.495709	6.708873
364525_038-LP3-ITS-0038	Lavaux_2021-09-30_must_Plot5_Row4/Vine10_ID30	5	4	10	46.495563	6.709112
364525_134-LP3-ITS-0134	Lavaux_2021-09-30_must_Plot5_Row4/Vine31_ID31	5	4	31	46.495669	6.70896
364525_037-LP3-ITS-0037	Lavaux_2021-09-30_must_Plot5_Row4/Vine50_ID32	5	4	50	46.495771	6.708816
364525_054-LP3-ITS-0054	Lavaux_2021-09-30_must_Plot5_Row5/Vine20_ID33	5	5	20	46.495625	6.709053
364525_059-LP3-ITS-0059	Lavaux_2021-09-30_must_Plot5_Row5/Vine41_ID34	5	5	41	46.495738	6.70889
364525_250-LP3-ITS-0250	Lavaux_2021-09-30_must_Plot5_Row6/Vine12_ID35	5	6	12	46.495596	6.709117
364525_066-LP3-ITS-0066	Lavaux_2021-09-30_must_Plot5_Row6/Vine20_ID36	5	6	20	46.495643	6.709052
364525_004-LP3-ITS-0004	Lavaux_2021-09-30_must_Plot5_Row6/Vine30_ID37b	5	6	30	46.495709	6.708961
364526_340-LP3-ITS-0916	Lavaux_2021-09-30_must_Plot9_Row2/Vine10_ID38	9	2	10	46.499033	6.712118
364525_132-LP3-ITS-0132	Lavaux_2021-09-30_must_Plot9_Row3/Vine20_ID39	9	3	20	46.498954	6.712186
364525_106-LP3-ITS-0106	Lavaux_2021-09-30_must_Plot9_Row4/Vine10_ID40	9	4	10	46.49905	6.71214
364525_100-LP3-ITS-0100	Lavaux_2021-09-30_must_Plot9_Row4/Vine30_ID41	9	4	30	46.498891	6.712245
364525_249-LP3-ITS-0249	Lavaux_2021-09-30_must_Plot9_Row5/Vine20_ID42	9	5	20	46.498988	6.712197
364525_108-LP3-ITS-0108	Lavaux_2021-09-30_must_Plot9_Row5/Vine40_ID43	9	5	40	46.498886	6.712264
364525_157-LP3-ITS-0157	Lavaux_2021-09-30_must_Plot9_Row6/Vine10_ID44	9	6	10	46.49909	6.712149
364525_136-LP3-ITS-0136	Lavaux_2021-09-30_must_Plot9_Row6/Vine30_ID45	9	6	30	46.498964	6.712226
364525_233-LP3-ITS-0233	Lavaux_2021-09-30_must_Plot9_Row7/Vine20_ID46	9	7	20	46.499033	6.712203
364525_138-LP3-ITS-0138	Lavaux_2021-09-30_must_Plot9_Row7/Vine40_ID47	9	7	40	46.498914	6.712277
364525_150-LP3-ITS-0150	Lavaux_2021-09-30_must_Plot9_Row8/Vine10_ID48	9	8	10	46.49909	6.712181
364525_073-LP3-ITS-0073	Lavaux_2021-09-30_must_Plot9_Row8/Vine30_ID49	9	8	30	46.498975	6.712254
364525_084-LP3-ITS-0084	Lavaux_2021-09-30_must_Plot9_Row9/Vine20_ID50	9	9	20	46.499054	6.712214
364525_009-LP3-ITS-0009	Lavaux_2021-09-30_must_Plot9_Row9/Vine40_ID51	9	9	40	46.498922	6.712297
364525_137-LP3-ITS-0137	Lavaux_2021-09-30_must_Plot9_Row10/Vine10_ID52	9	10	10	46.499101	6.71219
364526_341-LP3-ITS-0917	Lavaux_2021-09-30_must_Plot9_Row10/Vine31_ID53	9	10	31	46.498962	6.71228
364526_339-LP3-ITS-0915	Lavaux_2021-09-30_must_Plot9_Row11/Vine22_ID54	9	11	22	46.49902	6.712261
364525_039-LP3-ITS-0039	Lavaux_2021-09-30_must_Plot9_Row11/Vine40_ID55	9	11	40	46.498912	6.71233
364525_020-LP3-ITS-0020	Lavaux_2021-09-30_must_Plot11_Row2/Vine10_ID56	11	2	10	46.499882	6.706351
364525_177-LP3-ITS-0177	Lavaux_2021-09-30_must_Plot11_Row2/Vine31_ID57	11	2	31	46.500027	6.706387
364525_161-LP3-ITS-0161	Lavaux_2021-09-30_must_Plot11_Row2/Vine51_ID58	11	2	51	46.500181	6.706427
