SAMPLE_NAME,Frequency
Erlenbach_2023-08-23_5,1192.0
DNA11_PosCtrl_2,1168.0
DNA42_PosCtrl,1130.0
Valais_84,1075.0
Valais_66,1066.0
Fluntern_2023-10-10_1B,1059.0
MV_Must_Plot9_2022-09-13,1059.0
Valais_94,1047.0
Lavaux_2023-08-24_bark_Plot9,1046.0
Lavaux_2023-09-20_must_Plot19_RepB,1015.0
Erlenbach_2023-08-23_3,990.0
Valais_93,990.0
DNA14_PosCtrl_2,987.0
MV_Post-AF_Plot20_2023-10-11,958.0
Valais_87,943.0
Valais_90,942.0
Lavaux_2021-09-30_must_Plot14_Row17/Vine10_ID118,917.0
Lavaux_2023-08-24_soil_Plot9,917.0
SB_must_RT_immediately_3,867.0
Lavaux_2023-08-24_bark_Plot20,865.0
Valais_13,848.0
Valais_17,848.0
Valais_11,810.0
Valais_22,810.0
Lavaux_2021-09-30_must_Plot17_Row3/Vine25_ID147,804.0
Grenchen_2022-07-02_1B,801.0
visc_4deg_2,770.0
Lavaux_2022-09-09_must_Plot19_RepE,732.0
Lavaux_2021-09-30_must_Plot9_Row8/Vine30_ID49,709.0
Lavaux_2021-08-31_bark_Plot11,704.0
Lavaux_2021-09-30_must_Plot15_Row3/Vine20_ID121b,692.0
empty,689.0
Erlenbach_2022-08-11_3,680.0
Lavaux_2021-09-30_must_Plot12_Row4/Vine50_ID84,673.0
MV_Post-MLF_Plot5_2022-01-24,670.0
22DL01S_4609_wine,664.0
DNA15_NegCtrl,663.0
Sav_1_30-08-2023_berries,658.0
DNA24_posCtrl_3,656.0
MV_Post-AF_Plot15_2023-10-11,653.0
Valais_24,633.0
Lavaux_2021-09-30_must_Plot18_Row7/Vine14_ID190,622.0
MV_Post-MLF_Plot13_2022-01-24,618.0
Lavaux_2021-09-30_must_Plot4_Row8/Vine30_ID5,603.0
MV_Post-AF_Plot9_2023-10-11,584.0
Valais_3,581.0
Lavaux_2021-09-30_must_Plot15_Row13/Vine39_ID140,578.0
Lavaux_2021-09-30_must_Plot20_Row9/Vine20_ID210,578.0
Valais_16,578.0
Erlenbach_2022-06-30_2,576.0
Lavaux_2021-09-30_must_Plot20_Row3/Vine20_ID201,574.0
Valais_21,571.0
MV_Must_Plot12_2023-09-23,569.0
Lavaux_2021-09-30_must_Plot15_Row11/Vine38_ID136,565.0
Valais_8,552.0
MV_Post-MLF_Plot11_2022-01-24,541.0
Lavaux_2021-09-30_must_Plot15_Row10/Vine30_ID134,540.0
Lavaux_2021-09-30_must_Plot17_Row14/Vine10_ID173,539.0
Lavaux_2021-09-30_must_Plot17_Row5/Vine20_ID153,537.0
PCR1water_PCR2noPNA_2,531.0
Leytron_Agroscope3_30-08-2023_berries,530.0
SB_must_RT_immediately_1,530.0
Lavaux_2021-09-30_must_Plot4_Row10/Vine10_ID7,525.0
DNA42_NegCtrl,525.0
must_min20_3,522.0
Valais_77,509.0
