Name	SAMPLE_NAME	CTRL	Project	DNA_extraction_plate	Plate	Bacterial conc. (ng/uL)
364527_127-LP3-16S-0127	Lavaux_2021-09-30_must_Plot11_Row6/Vine40_ID67	Sample	Lavaux	DNA12	P2	1.9
364527_006-LP3-16S-0006	Lavaux_2021-09-30_must_Plot15_Row3/Vine20_ID121c	Sample	Lavaux	DNA11	P1	5.1
364527_244-LP3-16S-0244	Lavaux_2022-09-09_must_Plot12_RepB	Sample	Lavaux	DNA14	P3	3.3
364527_352-LP3-16S-0352	Erlenbach_2022-10-20_3	Sample	SoilColonialization	DNA15	P4	2.4
364527_231-LP3-16S-0231	Lavaux_2022-09-09_must_Plot20_RepD	Sample	Lavaux	DNA14	P3	2.3
364527_110-LP3-16S-0110	Lavaux_2021-09-30_must_Plot12_Row3/Vine41_ID80	Sample	Lavaux	DNA12	P2	2.5
364527_353-LP3-16S-0353	Grenchen_2022-10-20_2C	Sample	SoilColonialization	DNA15	P4	1.8
364527_232-LP3-16S-0232	DNA14_PosCtrl_2	PosCtrl	Lavaux	DNA14	P3	9.2
364527_111-LP3-16S-0111	Lavaux_2021-09-30_must_Plot12_Row6/Vine31_ID89	Sample	Lavaux	DNA12	P2	2.3
364527_233-LP3-16S-0233	Lavaux_2021-09-30_must_Plot9_Row7/Vine20_ID46	Sample	Lavaux	DNA14	P3	2.1
364527_112-LP3-16S-0112	Lavaux_2021-09-30_must_Plot12_Row7/Vine40_ID92	Sample	Lavaux	DNA12	P2	2.4
364527_113-LP3-16S-0113	Lavaux_2021-09-30_must_Plot17_Row14/Vine10_ID173	Sample	Lavaux	DNA12	P2	3.8
364527_348-LP3-16S-0348	Grenchen_2022-10-20_2B	Sample	SoilColonialization	DNA15	P4	3.1
364527_227-LP3-16S-0227	Lavaux_2022-09-09_must_Plot4_RepC	Sample	Lavaux	DNA14	P3	2.0
364527_106-LP3-16S-0106	Lavaux_2021-09-30_must_Plot9_Row4/Vine10_ID40	Sample	Lavaux	DNA12	P2	4.7
364527_349-LP3-16S-0349	Grenchen_2021-06-11_soil_2A_ref	Sample	SoilColonialization	DNA15	P4	2.6
364527_228-LP3-16S-0228	Lavaux_2022-09-09_must_Plot9_RepE	Sample	Lavaux	DNA14	P3	5.8
364527_107-LP3-16S-0107	do not use	Sample	NOT-USE	DNA12	P2	2.3
364527_350-LP3-16S-0350	Grenchen_2021-07-21_soil_2B	Sample	SoilColonialization	DNA15	P4	2.4
364527_229-LP3-16S-0229	Lavaux_2022-09-09_must_Plot14_RepB	Sample	Lavaux	DNA14	P3	1.8
364527_108-LP3-16S-0108	Lavaux_2021-09-30_must_Plot9_Row5/Vine40_ID43	Sample	Lavaux	DNA12	P2	2.1
364527_351-LP3-16S-0351	empty	Sample	NOT-USE	DNA15	P4	2.0
364527_230-LP3-16S-0230	Lavaux_2022-09-09_must_Plot17_RepB	Sample	Lavaux	DNA14	P3	1.9
364527_109-LP3-16S-0109	do not use	Sample	NOT-USE	DNA12	P2	2.0
364527_234-LP3-16S-0234	Lavaux_2021-09-30_must_Plot17_Row4/Vine5_ID148	Sample	Lavaux	DNA14	P3	1.9
364527_235-LP3-16S-0235	Lavaux_2022-09-09_must_Plot4_RepD	Sample	Lavaux	DNA14	P3	2.0
364527_114-LP3-16S-0114	Lavaux_2021-09-30_must_Plot12_Row7/Vine20_ID91	Sample	Lavaux	DNA12	P2	2.3
364527_236-LP3-16S-0236	Lavaux_2022-09-09_must_Plot12_RepA	Sample	Lavaux	DNA14	P3	1.7
364527_115-LP3-16S-0115	Lavaux_2021-09-30_must_Plot15_Row9/Vine20_ID132	Sample	Lavaux	DNA12	P2	2.3
